OrderID,OrderDate,Customer,Region,Product,Category,UnitPrice,Quantity,Discount,Sales,Cost,Profit
ORD100044,2023-05-11,Customer_7,Central,Desk Lamp,Furniture,18.0,5,0.0,90.0,71.1,18.9
ORD100045,2024-04-29,Customer_263,North,Router,Electronics,60.0,2,0.2,96.0,70.8,25.2
ORD100046,2024-10-08,Customer_161,South,Desk Lamp,Furniture,18.0,4,0.0,72.0,40.32,31.68
ORD100047,2023-01-21,Customer_151,South,Smartphone Case,Accessories,10.0,2,0.3,14.0,15.2,-1.2
ORD100048,2023-06-16,Customer_85,North,Bluetooth Speaker,Electronics,55.0,4,0.05,209.0,140.8,68.2
ORD100049,2023-10-01,Customer_147,East,USB-C Cable,Electronics,8.0,1,0.0,8.0,5.92,2.08
ORD100050,2024-01-23,Customer_112,West,"Monitor 24""",Electronics,130.0,2,0.2,208.0,156.0,52.0
ORD100051,2024-08-23,Customer_36,West,Wireless Mouse,Electronics,15.0,3,0.05,42.75,31.05,11.7
ORD100052,2023-11-12,Customer_285,Central,Pen Set,Stationery,5.0,2,0.0,10.0,7.0,3.0
ORD100053,2023-01-14,Customer_188,East,Pen Set,Stationery,5.0,3,0.1,13.5,10.95,2.55
ORD100054,2023-08-30,Customer_82,East,Laptop Stand,Accessories,25.0,3,0.2,60.0,52.5,7.5
ORD100055,2023-12-12,Customer_2,North,USB-C Cable,Electronics,8.0,3,0.0,24.0,16.8,7.2
ORD100056,2024-07-18,Customer_197,East,Bluetooth Speaker,Electronics,55.0,5,0.0,275.0,178.75,96.25
ORD100057,2023-12-06,Customer_11,North,USB-C Cable,Electronics,8.0,3,0.1,21.6,13.68,7.92
ORD100058,2023-04-02,Customer_234,South,SSD 1TB,Electronics,110.0,4,0.1,396.0,255.2,140.8
ORD100059,2024-01-02,Customer_195,South,External HDD,Electronics,85.0,3,0.2,204.0,173.4,30.6
ORD100060,2024-03-30,Customer_119,South,Webcam HD,Electronics,45.0,2,0.1,81.0,59.4,21.6
ORD100061,2024-03-03,Customer_20,East,Smartphone Case,Accessories,10.0,3,0.0,30.0,21.0,9.0
ORD100062,2024-05-23,Customer_261,Central,Notebook,Stationery,3.0,5,0.2,12.0,9.6,2.4
ORD100063,2023-02-04,Customer_293,South,"Monitor 24""",Electronics,130.0,3,0.0,390.0,296.4,93.6
ORD100064,2023-07-25,Customer_256,Central,Bluetooth Speaker,Electronics,55.0,1,0.0,55.0,44.55,10.45
ORD100065,2023-03-22,Customer_222,West,Notebook,Stationery,3.0,4,0.05,11.4,7.68,3.72
ORD100066,2024-07-15,Customer_226,East,"Monitor 24""",Electronics,130.0,1,0.05,123.5,79.3,44.2
ORD100067,2024-01-23,Customer_53,East,External HDD,Electronics,85.0,6,0.0,510.0,295.8,214.2
ORD100068,2023-01-02,Customer_280,North,Office Chair,Furniture,120.0,3,0.1,324.0,262.8,61.2
ORD100069,2024-01-25,Customer_81,West,Mechanical Keyboard,Electronics,70.0,4,0.0,280.0,190.4,89.6
ORD100070,2024-07-19,Customer_202,East,External HDD,Electronics,85.0,3,0.0,255.0,155.55,99.45
ORD100071,2023-04-16,Customer_158,Central,Smartphone Case,Accessories,10.0,6,0.15,51.0,45.0,6.0
ORD100072,2024-04-21,Customer_120,East,SSD 1TB,Electronics,110.0,3,0.0,330.0,194.7,135.3
ORD100073,2024-12-03,Customer_59,West,Desk Lamp,Furniture,18.0,3,0.0,54.0,38.88,15.12
ORD100074,2024-02-06,Customer_215,West,External HDD,Electronics,85.0,2,0.0,170.0,120.7,49.3
ORD100075,2024-12-30,Customer_128,South,Smartphone Case,Accessories,10.0,2,0.3,14.0,15.4,-1.4
ORD100076,2024-07-09,Customer_224,South,Desk Lamp,Furniture,18.0,7,0.0,126.0,71.82,54.18
ORD100077,2023-06-11,Customer_209,South,"Monitor 24""",Electronics,130.0,2,0.0,260.0,213.2,46.8
ORD100078,2023-07-21,Customer_115,East,Desk Lamp,Furniture,18.0,3,0.05,51.3,41.04,10.26
ORD100079,2023-09-27,Customer_209,North,Router,Electronics,60.0,1,0.0,60.0,36.6,23.4
ORD100080,2023-09-28,Customer_14,Central,Notebook,Stationery,3.0,5,0.0,15.0,9.15,5.85
ORD100081,2024-03-31,Customer_9,East,Smartphone Case,Accessories,10.0,3,0.05,28.5,20.4,8.1
ORD100082,2024-04-06,Customer_40,Central,Pen Set,Stationery,5.0,4,0.0,20.0,16.0,4.0
ORD100083,2024-12-27,Customer_237,West,Notebook,Stationery,3.0,4,0.3,8.4,9.6,-1.2
ORD100084,2023-09-09,Customer_281,East,"Monitor 24""",Electronics,130.0,4,0.0,520.0,369.2,150.8
ORD100085,2024-12-02,Customer_201,Central,Bluetooth Speaker,Electronics,55.0,3,0.0,165.0,133.65,31.35
ORD100086,2023-10-23,Customer_246,East,USB-C Cable,Electronics,8.0,2,0.0,16.0,8.8,7.2
ORD100087,2024-12-25,Customer_278,Central,Notebook,Stationery,3.0,3,0.0,9.0,5.04,3.96
ORD100088,2024-12-20,Customer_235,South,Router,Electronics,60.0,4,0.1,216.0,196.8,19.2
ORD100089,2023-12-04,Customer_4,South,Desk Lamp,Furniture,18.0,4,0.0,72.0,56.16,15.84
ORD100090,2023-02-22,Customer_154,South,Router,Electronics,60.0,4,0.0,240.0,165.6,74.4
ORD100091,2023-08-05,Customer_29,East,Laptop Stand,Accessories,25.0,3,0.1,67.5,58.5,9.0
ORD100092,2023-07-07,Customer_109,East,Webcam HD,Electronics,45.0,4,0.05,171.0,151.2,19.8
ORD100093,2024-01-15,Customer_98,East,External HDD,Electronics,85.0,3,0.0,255.0,198.9,56.1
ORD100094,2024-05-07,Customer_215,South,Pen Set,Stationery,5.0,1,0.0,5.0,4.0,1.0
ORD100095,2023-02-10,Customer_293,Central,External HDD,Electronics,85.0,5,0.0,425.0,331.5,93.5
ORD100096,2023-06-06,Customer_75,East,Desk Lamp,Furniture,18.0,4,0.0,72.0,43.2,28.8
ORD100097,2023-01-15,Customer_146,South,Laptop Stand,Accessories,25.0,3,0.0,75.0,60.0,15.0
ORD100098,2023-03-06,Customer_128,West,"Monitor 24""",Electronics,130.0,4,0.05,494.0,317.2,176.8
ORD100099,2024-06-04,Customer_42,West,Office Chair,Furniture,120.0,3,0.2,288.0,295.2,-7.2
ORD100100,2023-12-10,Customer_41,Central,SSD 1TB,Electronics,110.0,2,0.0,220.0,151.8,68.2
ORD100101,2023-05-09,Customer_34,East,Laptop Stand,Accessories,25.0,5,0.0,125.0,93.75,31.25
ORD100102,2024-10-09,Customer_17,North,Mechanical Keyboard,Electronics,70.0,4,0.0,280.0,196.0,84.0
ORD100103,2024-04-16,Customer_165,South,External HDD,Electronics,85.0,5,0.0,425.0,246.5,178.5
ORD100104,2023-03-04,Customer_153,East,Office Chair,Furniture,120.0,2,0.0,240.0,153.6,86.4
ORD100105,2023-05-19,Customer_76,Central,Smartphone Case,Accessories,10.0,3,0.2,24.0,25.5,-1.5
ORD100106,2024-05-13,Customer_87,South,Wireless Mouse,Electronics,15.0,2,0.1,27.0,25.2,1.8
ORD100107,2024-08-15,Customer_117,Central,Pen Set,Stationery,5.0,3,0.3,10.5,9.75,0.75
ORD100108,2024-01-27,Customer_27,East,Desk Lamp,Furniture,18.0,2,0.2,28.8,30.6,-1.8
ORD100109,2024-11-05,Customer_287,Central,Smartphone Case,Accessories,10.0,2,0.0,20.0,16.0,4.0
ORD100110,2024-02-23,Customer_134,North,Smartphone Case,Accessories,10.0,6,0.05,57.0,43.8,13.2
ORD100111,2023-10-16,Customer_219,Central,Wireless Mouse,Electronics,15.0,1,0.0,15.0,8.4,6.6
ORD100112,2024-01-14,Customer_168,Central,Notebook,Stationery,3.0,3,0.0,9.0,7.38,1.62
ORD100113,2024-05-04,Customer_98,Central,"Monitor 24""",Electronics,130.0,5,0.2,520.0,468.0,52.0
ORD100114,2023-08-19,Customer_268,North,Router,Electronics,60.0,3,0.0,180.0,145.8,34.2
ORD100115,2023-02-10,Customer_237,North,Pen Set,Stationery,5.0,1,0.15,4.25,4.0,0.25
ORD100116,2023-01-28,Customer_173,West,SSD 1TB,Electronics,110.0,6,0.0,660.0,528.0,132.0
ORD100117,2023-05-15,Customer_190,North,USB-C Cable,Electronics,8.0,3,0.2,19.2,18.24,0.96
ORD100118,2023-07-20,Customer_122,North,Smartphone Case,Accessories,10.0,5,0.2,40.0,32.0,8.0
ORD100119,2023-02-02,Customer_46,North,Office Chair,Furniture,120.0,4,0.1,432.0,312.0,120.0
ORD100120,2023-02-17,Customer_64,East,Smartphone Case,Accessories,10.0,2,0.1,18.0,12.8,5.2
ORD100121,2024-05-17,Customer_130,East,Router,Electronics,60.0,3,0.0,180.0,100.8,79.2
ORD100122,2024-02-11,Customer_193,North,USB-C Cable,Electronics,8.0,6,0.15,40.8,34.56,6.24
ORD100123,2024-07-27,Customer_181,North,Smartphone Case,Accessories,10.0,2,0.3,14.0,15.2,-1.2
ORD100124,2024-12-28,Customer_292,East,Wireless Mouse,Electronics,15.0,2,0.1,27.0,24.3,2.7
ORD100125,2023-04-09,Customer_282,East,Router,Electronics,60.0,2,0.05,114.0,70.8,43.2
ORD100126,2024-11-14,Customer_29,North,Laptop Stand,Accessories,25.0,4,0.05,95.0,71.0,24.0
ORD100127,2024-12-26,Customer_149,South,Laptop Stand,Accessories,25.0,3,0.15,63.75,41.25,22.5
ORD100128,2024-06-30,Customer_267,Central,Router,Electronics,60.0,2,0.05,114.0,69.6,44.4
ORD100129,2024-09-04,Customer_296,Central,Bluetooth Speaker,Electronics,55.0,1,0.15,46.75,31.35,15.4
ORD100130,2024-04-06,Customer_11,Central,"Monitor 24""",Electronics,130.0,2,0.05,247.0,200.2,46.8
ORD100131,2024-10-04,Customer_164,Central,Wireless Mouse,Electronics,15.0,1,0.0,15.0,8.55,6.45
ORD100132,2023-01-05,Customer_113,South,Webcam HD,Electronics,45.0,4,0.0,180.0,136.8,43.2
ORD100133,2023-08-06,Customer_187,West,Smartphone Case,Accessories,10.0,3,0.0,30.0,18.6,11.4
ORD100134,2024-05-17,Customer_295,South,Pen Set,Stationery,5.0,1,0.0,5.0,4.05,0.95
ORD100135,2024-02-02,Customer_232,East,Office Chair,Furniture,120.0,2,0.0,240.0,189.6,50.4
ORD100136,2024-01-28,Customer_227,South,Laptop Stand,Accessories,25.0,4,0.05,95.0,84.0,11.0
ORD100137,2023-07-26,Customer_98,East,Router,Electronics,60.0,3,0.0,180.0,147.6,32.4
ORD100138,2023-01-15,Customer_55,East,Laptop Stand,Accessories,25.0,2,0.0,50.0,41.5,8.5
ORD100139,2024-07-07,Customer_111,North,USB-C Cable,Electronics,8.0,4,0.1,28.8,25.92,2.88
ORD100140,2024-04-05,Customer_152,West,USB-C Cable,Electronics,8.0,5,0.3,28.0,30.4,-2.4
ORD100141,2024-11-21,Customer_246,North,SSD 1TB,Electronics,110.0,1,0.1,99.0,66.0,33.0
ORD100142,2024-07-28,Customer_69,South,Bluetooth Speaker,Electronics,55.0,2,0.3,77.0,69.3,7.7
ORD100143,2023-08-29,Customer_289,North,External HDD,Electronics,85.0,2,0.1,153.0,103.7,49.3
ORD100144,2024-07-17,Customer_250,South,Desk Lamp,Furniture,18.0,3,0.0,54.0,39.42,14.58
ORD100145,2023-04-06,Customer_36,North,Notebook,Stationery,3.0,3,0.1,8.1,6.3,1.8
ORD100146,2024-04-29,Customer_239,Central,Webcam HD,Electronics,45.0,1,0.1,40.5,36.45,4.05
ORD100147,2024-02-11,Customer_148,South,USB-C Cable,Electronics,8.0,3,0.0,24.0,20.16,3.84
ORD100148,2023-08-19,Customer_227,East,USB-C Cable,Electronics,8.0,1,0.0,8.0,5.36,2.64
ORD100149,2024-10-16,Customer_244,South,Bluetooth Speaker,Electronics,55.0,5,0.1,247.5,192.5,55.0
ORD100150,2023-06-20,Customer_201,East,Pen Set,Stationery,5.0,2,0.0,10.0,8.4,1.6
ORD100151,2024-06-24,Customer_154,West,External HDD,Electronics,85.0,6,0.05,484.5,321.3,163.2
ORD100152,2023-02-05,Customer_73,East,Router,Electronics,60.0,2,0.0,120.0,94.8,25.2
ORD100153,2024-06-08,Customer_201,West,Desk Lamp,Furniture,18.0,2,0.05,34.2,22.32,11.88
ORD100154,2023-06-09,Customer_296,Central,USB-C Cable,Electronics,8.0,1,0.05,7.6,6.0,1.6
ORD100155,2024-11-29,Customer_17,Central,Bluetooth Speaker,Electronics,55.0,2,0.0,110.0,69.3,40.7
ORD100156,2023-08-31,Customer_129,West,Office Chair,Furniture,120.0,3,0.0,360.0,295.2,64.8
ORD100157,2023-03-27,Customer_217,North,Pen Set,Stationery,5.0,1,0.05,4.75,3.6,1.15
ORD100158,2024-07-31,Customer_61,East,Notebook,Stationery,3.0,4,0.15,10.2,7.32,2.88
ORD100159,2024-11-12,Customer_104,East,Wireless Mouse,Electronics,15.0,5,0.2,60.0,46.5,13.5
ORD100160,2024-07-10,Customer_42,West,Router,Electronics,60.0,3,0.0,180.0,126.0,54.0
ORD100161,2024-07-27,Customer_25,West,Pen Set,Stationery,5.0,6,0.1,27.0,25.2,1.8
ORD100162,2024-10-07,Customer_39,West,Wireless Mouse,Electronics,15.0,3,0.0,45.0,35.1,9.9
ORD100163,2023-01-28,Customer_291,West,Laptop Stand,Accessories,25.0,4,0.0,100.0,70.0,30.0
ORD100164,2024-09-11,Customer_131,North,Desk Lamp,Furniture,18.0,2,0.0,36.0,23.4,12.6
ORD100165,2024-07-09,Customer_229,North,Notebook,Stationery,3.0,3,0.05,8.55,6.39,2.16
ORD100166,2023-12-06,Customer_108,South,SSD 1TB,Electronics,110.0,1,0.0,110.0,84.7,25.3
ORD100167,2023-11-27,Customer_172,Central,Desk Lamp,Furniture,18.0,4,0.0,72.0,56.88,15.12
ORD100168,2024-10-01,Customer_102,West,External HDD,Electronics,85.0,2,0.1,153.0,110.5,42.5
ORD100169,2024-05-20,Customer_12,West,Notebook,Stationery,3.0,4,0.1,10.8,9.24,1.56
ORD100170,2023-12-14,Customer_275,West,External HDD,Electronics,85.0,4,0.0,340.0,255.0,85.0
ORD100171,2024-04-17,Customer_101,West,Desk Lamp,Furniture,18.0,2,0.0,36.0,30.24,5.76
ORD100172,2023-08-19,Customer_44,Central,Pen Set,Stationery,5.0,4,0.0,20.0,16.6,3.4
ORD100173,2023-07-09,Customer_17,West,Router,Electronics,60.0,1,0.0,60.0,47.4,12.6
ORD100174,2023-08-13,Customer_57,East,Bluetooth Speaker,Electronics,55.0,2,0.1,99.0,84.7,14.3
ORD100175,2024-01-20,Customer_12,West,Desk Lamp,Furniture,18.0,1,0.0,18.0,11.34,6.66
ORD100176,2024-01-12,Customer_80,North,Mechanical Keyboard,Electronics,70.0,3,0.1,189.0,168.0,21.0
ORD100177,2023-10-10,Customer_216,West,Notebook,Stationery,3.0,2,0.15,5.1,4.08,1.02
ORD100178,2024-09-24,Customer_264,South,SSD 1TB,Electronics,110.0,5,0.0,550.0,346.5,203.5
ORD100179,2024-09-19,Customer_149,North,Router,Electronics,60.0,4,0.3,168.0,160.8,7.2
ORD100180,2023-09-16,Customer_81,West,Smartphone Case,Accessories,10.0,2,0.0,20.0,16.0,4.0
ORD100181,2023-12-25,Customer_215,East,Wireless Mouse,Electronics,15.0,2,0.0,30.0,17.7,12.3
ORD100182,2024-12-10,Customer_198,Central,Notebook,Stationery,3.0,5,0.0,15.0,10.35,4.65
ORD100183,2024-03-31,Customer_200,South,Laptop Stand,Accessories,25.0,2,0.0,50.0,35.0,15.0
ORD100184,2024-02-15,Customer_25,East,Office Chair,Furniture,120.0,2,0.0,240.0,134.4,105.6
ORD100185,2024-10-10,Customer_89,South,Router,Electronics,60.0,2,0.0,120.0,73.2,46.8
ORD100186,2023-11-14,Customer_268,North,Router,Electronics,60.0,4,0.1,216.0,192.0,24.0
ORD100187,2024-11-07,Customer_143,South,External HDD,Electronics,85.0,2,0.2,136.0,136.0,0.0
ORD100188,2023-08-13,Customer_59,South,Mechanical Keyboard,Electronics,70.0,3,0.1,189.0,134.4,54.6
ORD100189,2023-08-22,Customer_26,North,"Monitor 24""",Electronics,130.0,6,0.0,780.0,631.8,148.2
ORD100190,2024-11-14,Customer_47,South,Smartphone Case,Accessories,10.0,2,0.1,18.0,15.6,2.4
ORD100191,2024-10-25,Customer_288,North,Notebook,Stationery,3.0,3,0.05,8.55,6.12,2.43
ORD100192,2024-01-09,Customer_266,West,USB-C Cable,Electronics,8.0,6,0.15,40.8,36.96,3.84
ORD100193,2024-11-02,Customer_16,North,Pen Set,Stationery,5.0,2,0.15,8.5,8.4,0.1
ORD100194,2024-08-30,Customer_199,East,Smartphone Case,Accessories,10.0,5,0.15,42.5,34.5,8.0
ORD100195,2024-04-16,Customer_282,West,Pen Set,Stationery,5.0,5,0.0,25.0,15.5,9.5
ORD100196,2023-08-21,Customer_86,East,Desk Lamp,Furniture,18.0,2,0.1,32.4,29.88,2.52
ORD100197,2024-11-22,Customer_250,Central,Desk Lamp,Furniture,18.0,3,0.0,54.0,39.42,14.58
ORD100198,2023-04-23,Customer_270,West,SSD 1TB,Electronics,110.0,4,0.3,308.0,255.2,52.8
ORD100199,2024-05-11,Customer_117,West,Smartphone Case,Accessories,10.0,7,0.0,70.0,50.4,19.6
ORD100200,2024-03-17,Customer_7,North,Pen Set,Stationery,5.0,1,0.0,5.0,3.5,1.5
ORD100201,2024-07-17,Customer_137,West,SSD 1TB,Electronics,110.0,5,0.0,550.0,445.5,104.5
ORD100202,2023-09-25,Customer_176,West,Webcam HD,Electronics,45.0,4,0.1,162.0,127.8,34.2
ORD100203,2024-05-24,Customer_215,South,Smartphone Case,Accessories,10.0,2,0.0,20.0,12.6,7.4
ORD100204,2024-01-21,Customer_82,North,Mechanical Keyboard,Electronics,70.0,5,0.0,350.0,262.5,87.5
ORD100205,2024-01-22,Customer_223,South,Mechanical Keyboard,Electronics,70.0,2,0.3,98.0,99.4,-1.4
ORD100206,2023-04-23,Customer_103,West,Wireless Mouse,Electronics,15.0,3,0.2,36.0,27.9,8.1
ORD100207,2024-09-04,Customer_273,South,Notebook,Stationery,3.0,2,0.0,6.0,4.32,1.68
ORD100208,2024-09-16,Customer_14,West,"Monitor 24""",Electronics,130.0,5,0.0,650.0,520.0,130.0
ORD100209,2023-03-22,Customer_159,North,Pen Set,Stationery,5.0,4,0.15,17.0,11.2,5.8
ORD100210,2024-11-29,Customer_152,West,Notebook,Stationery,3.0,7,0.2,16.8,15.54,1.26
ORD100211,2023-04-23,Customer_108,South,Mechanical Keyboard,Electronics,70.0,2,0.05,133.0,91.0,42.0
ORD100212,2023-01-02,Customer_188,North,Laptop Stand,Accessories,25.0,3,0.05,71.25,48.0,23.25
ORD100213,2024-10-03,Customer_98,East,Pen Set,Stationery,5.0,2,0.0,10.0,6.7,3.3
ORD100214,2023-08-08,Customer_131,North,Router,Electronics,60.0,3,0.15,153.0,117.0,36.0
ORD100215,2024-07-19,Customer_293,North,Notebook,Stationery,3.0,4,0.05,11.4,9.6,1.8
ORD100216,2023-08-13,Customer_171,South,Mechanical Keyboard,Electronics,70.0,4,0.05,266.0,176.4,89.6
ORD100217,2024-01-20,Customer_183,East,Office Chair,Furniture,120.0,1,0.0,120.0,92.4,27.6
ORD100218,2024-02-07,Customer_39,Central,Mechanical Keyboard,Electronics,70.0,2,0.2,112.0,81.2,30.8
ORD100219,2024-09-29,Customer_15,West,Desk Lamp,Furniture,18.0,2,0.05,34.2,30.24,3.96
ORD100220,2023-05-10,Customer_4,East,SSD 1TB,Electronics,110.0,5,0.0,550.0,407.0,143.0
ORD100221,2023-02-22,Customer_210,North,Router,Electronics,60.0,2,0.05,114.0,91.2,22.8
ORD100222,2024-11-14,Customer_161,East,USB-C Cable,Electronics,8.0,5,0.1,36.0,25.6,10.4
ORD100223,2024-12-30,Customer_16,West,Webcam HD,Electronics,45.0,1,0.05,42.75,30.15,12.6
ORD100224,2024-11-02,Customer_108,South,External HDD,Electronics,85.0,4,0.1,306.0,210.8,95.2
ORD100225,2024-12-10,Customer_227,North,Webcam HD,Electronics,45.0,2,0.05,85.5,74.7,10.8
ORD100226,2024-02-20,Customer_170,South,Router,Electronics,60.0,3,0.2,144.0,126.0,18.0
ORD100227,2023-09-04,Customer_34,West,SSD 1TB,Electronics,110.0,5,0.0,550.0,407.0,143.0
ORD100228,2024-03-14,Customer_251,South,Desk Lamp,Furniture,18.0,3,0.0,54.0,41.58,12.42
ORD100229,2023-07-22,Customer_247,West,Desk Lamp,Furniture,18.0,2,0.0,36.0,23.76,12.24
ORD100230,2023-07-03,Customer_269,South,External HDD,Electronics,85.0,2,0.1,153.0,130.9,22.1
ORD100231,2023-05-03,Customer_141,North,Pen Set,Stationery,5.0,3,0.05,14.25,11.25,3.0
ORD100232,2024-02-05,Customer_274,South,Office Chair,Furniture,120.0,2,0.2,192.0,182.4,9.6
ORD100233,2023-10-21,Customer_96,East,Office Chair,Furniture,120.0,3,0.1,324.0,252.0,72.0
ORD100234,2023-10-07,Customer_227,North,External HDD,Electronics,85.0,2,0.05,161.5,112.2,49.3
ORD100235,2024-09-01,Customer_39,North,Pen Set,Stationery,5.0,3,0.3,10.5,9.3,1.2
ORD100236,2023-07-17,Customer_29,North,Notebook,Stationery,3.0,1,0.0,3.0,2.4,0.6
ORD100237,2024-05-25,Customer_245,North,Pen Set,Stationery,5.0,2,0.15,8.5,7.3,1.2
ORD100238,2023-05-24,Customer_236,South,"Monitor 24""",Electronics,130.0,5,0.0,650.0,442.0,208.0
ORD100239,2024-08-31,Customer_185,Central,"Monitor 24""",Electronics,130.0,4,0.05,494.0,431.6,62.4
ORD100240,2023-07-20,Customer_272,East,Webcam HD,Electronics,45.0,3,0.1,121.5,75.6,45.9
ORD100241,2023-05-04,Customer_236,East,Mechanical Keyboard,Electronics,70.0,3,0.05,199.5,170.1,29.4
ORD100242,2023-07-06,Customer_239,South,External HDD,Electronics,85.0,2,0.0,170.0,144.5,25.5
ORD100243,2023-11-22,Customer_266,South,Pen Set,Stationery,5.0,6,0.0,30.0,24.6,5.4
ORD100244,2024-04-08,Customer_65,North,Bluetooth Speaker,Electronics,55.0,1,0.05,52.25,43.45,8.8
ORD100245,2023-12-15,Customer_177,East,Pen Set,Stationery,5.0,3,0.15,12.75,9.9,2.85
ORD100246,2024-10-21,Customer_3,East,Router,Electronics,60.0,4,0.0,240.0,148.8,91.2
ORD100247,2024-02-07,Customer_142,North,SSD 1TB,Electronics,110.0,2,0.2,176.0,169.4,6.6
ORD100248,2023-12-12,Customer_158,West,Notebook,Stationery,3.0,3,0.0,9.0,5.76,3.24
ORD100249,2024-05-25,Customer_146,East,Wireless Mouse,Electronics,15.0,5,0.05,71.25,45.0,26.25
ORD100250,2023-05-27,Customer_293,South,Webcam HD,Electronics,45.0,4,0.1,162.0,142.2,19.8
